Tile_+004_+019_L20_0000530.obj,-2244.755,243.6875,390.3525
Tile_+004_+019_L20_0000600.obj,-2207.255,205.75,285.886
Tile_+004_+019_L20_0000610.obj,-2169.315,205.75,287.9195
Tile_+004_+019_L20_0000620.obj,-2207.255,243.6875,288.597
Tile_+004_+019_L20_0000630.obj,-2169.315,243.6875,290.354
Tile_+004_+019_L20_0000700.obj,-2207.255,205.75,385.9675
Tile_+004_+019_L20_0000710.obj,-2169.315,210.0945,383.4635
Tile_+004_+019_L20_0000720.obj,-2207.255,243.6875,386.895
Tile_+004_+019_L20_0000730.obj,-2169.315,243.6875,380.7575
Tile_+004_+020.obj,-2226,337,335.7535
Tile_+004_+020_L14_0.obj,-2226,337,336.9015
Tile_+004_+020_L15_00.obj,-2226,337,337.8125
Tile_+004_+020_L16_000.obj,-2226,337,338.4055
Tile_+004_+020_L17_0000.obj,-2226,337,338.4055
Tile_+004_+020_L18_00000t7.obj,-2226,337,338.4275
Tile_+004_+020_L19_000000t3.obj,-2263.875,299.125,283.349
Tile_+004_+020_L19_000010t3.obj,-2263.875,299.125,389.0205
Tile_+004_+020_L19_000020t3.obj,-2188.125,299.125,287.4695
Tile_+004_+020_L19_000030t3.obj,-2188.125,299.125,378.997
Tile_+004_+020_L19_000040t3.obj,-2263.875,374.875,287.0335
Tile_+004_+020_L19_000050t3.obj,-2263.875,374.875,390.05
Tile_+004_+020_L19_000060t3.obj,-2188.125,374.875,288.7735
Tile_+004_+020_L19_000070t3.obj,-2188.125,374.875,381.067
Tile_+004_+020_L20_0000000.obj,-2282.69,280.3125,280.1945
Tile_+004_+020_L20_0000010.obj,-2244.755,280.3125,281.022
Tile_+004_+020_L20_0000020.obj,-2282.69,318.25,281.5735
Tile_+004_+020_L20_0000030.obj,-2244.755,318.25,287.1165
Tile_+004_+020_L20_0000100.obj,-2282.69,280.3125,389.0205
Tile_+004_+020_L20_0000110.obj,-2244.755,280.3125,386.6075
Tile_+004_+020_L20_0000120.obj,-2282.69,318.25,390.3865
Tile_+004_+020_L20_0000130.obj,-2244.755,318.25,385.808
Tile_+004_+020_L20_0000200.obj,-2207.255,280.3125,287.4325
Tile_+004_+020_L20_0000210.obj,-2169.315,280.3125,290.1055
Tile_+004_+020_L20_0000220.obj,-2207.255,318.25,287.443
Tile_+004_+020_L20_0000230.obj,-2169.315,318.25,288.551
Tile_+004_+020_L20_0000300.obj,-2207.255,280.3125,378.9865
Tile_+004_+020_L20_0000310.obj,-2169.315,280.3125,380.213
Tile_+004_+020_L20_0000320.obj,-2207.255,318.25,382.712
Tile_+004_+020_L20_0000330.obj,-2169.315,318.25,378.761
Tile_+004_+020_L20_0000400.obj,-2282.69,355.75,285.96
Tile_+004_+020_L20_0000410.obj,-2244.755,355.75,290.9855
Tile_+004_+020_L20_0000420.obj,-2282.69,393.6875,292.5345
Tile_+004_+020_L20_0000430.obj,-2244.755,393.6875,292.6045
Tile_+004_+020_L20_0000500.obj,-2282.69,355.75,392.26
Tile_+004_+020_L20_0000510.obj,-2244.755,355.75,382.7815
Tile_+004_+020_L20_0000520.obj,-2282.69,393.6875,391.2675
Tile_+004_+020_L20_0000530.obj,-2244.755,393.6875,383.6155
Tile_+004_+020_L20_0000600.obj,-2207.255,355.75,288.9005
Tile_+004_+020_L20_0000610.obj,-2169.315,355.75,287.841
Tile_+004_+020_L20_0000620.obj,-2207.255,393.6875,290.2015
Tile_+004_+020_L20_0000630.obj,-2169.315,393.6875,289.0495
Tile_+004_+020_L20_0000700.obj,-2207.255,355.75,381.445
Tile_+004_+020_L20_0000710.obj,-2169.315,355.75,378.0145
Tile_+004_+020_L20_0000720.obj,-2207.255,393.6875,380.8815
Tile_+004_+020_L20_0000730.obj,-2169.315,393.6875,377.556
Tile_+005_+018.obj,-2076,36.99995,344.0925
Tile_+005_+018_L14_0.obj,-2076,36.99995,345.0465
Tile_+005_+018_L15_00.obj,-2076,36.99995,345.0465
Tile_+005_+018_L16_000.obj,-2076,36.99995,345.4925
Tile_+005_+018_L17_0000.obj,-2076,36.99995,345.6805
Tile_+005_+018_L18_00000t7.obj,-2076,36.99995,345.73
Tile_+005_+018_L19_000000t3.obj,-2113.875,-0.87505,296.2615
Tile_+005_+018_L19_000010t2.obj,-2113.875,-8.25785,397.4775
Tile_+005_+018_L19_000020t3.obj,-2038.125,-0.87505,303.5475
Tile_+005_+018_L19_000030t3.obj,-2038.125,-0.87505,392.5525
Tile_+005_+018_L19_000040t3.obj,-2113.875,74.875,295.801
Tile_+005_+018_L19_000050t2.obj,-2114.165,70.9366,392.014
Tile_+005_+018_L19_000060t3.obj,-2038.125,74.875,301.043
Tile_+005_+018_L19_000070t3.obj,-2036.15,74.875,391.005
Tile_+005_+018_L20_0000000.obj,-2132.69,-19.6875465,296.5045
Tile_+005_+018_L20_0000010.obj,-2094.755,-19.6875465,297.24
Tile_+005_+018_L20_0000020.obj,-2132.69,18.2499965,296.264
Tile_+005_+018_L20_0000030t2.obj,-2094.755,18.2499965,296.6915
Tile_+005_+018_L20_0000100.obj,-2132.69,-1.20845,397.763
Tile_+005_+018_L20_0000110.obj,-2081.92,-37.96955,401.6895
Tile_+005_+018_L20_0000120.obj,-2094.755,9.76312,395.5275
Tile_+005_+018_L20_0000200.obj,-2057.255,-19.6875465,303.6325
Tile_+005_+018_L20_0000210.obj,-2019.315,-19.6875465,304.174
Tile_+005_+018_L20_0000220t2.obj,-2057.255,18.2499965,299.9915
Tile_+005_+018_L20_0000230t2.obj,-2019.315,18.2499965,301.963
Tile_+005_+018_L20_0000300.obj,-2057.255,-25.83045,395.3195
Tile_+005_+018_L20_0000310.obj,-2019.315,-20.38242,392.578
Tile_+005_+018_L20_0000320.obj,-2061.215,22.3411,394.9745
Tile_+005_+018_L20_0000330.obj,-2024.87,24.70425,387.6015
Tile_+005_+018_L20_0000400t2.obj,-2132.69,55.75,295.537
Tile_+005_+018_L20_0000410.obj,-2094.755,55.75,296.764
Tile_+005_+018_L20_0000420.obj,-2132.69,93.6875,294.622
Tile_+005_+018_L20_0000430.obj,-2094.755,93.6875,294.612
Tile_+005_+018_L20_0000500.obj,-2135.49,87.72715,392.4075
Tile_+005_+018_L20_0000510.obj,-2086.65,41.02595,394.2485
Tile_+005_+018_L20_0000520.obj,-2106.585,94.9963,386.6425
Tile_+005_+018_L20_0000600.obj,-2057.255,55.75,299.1295
Tile_+005_+018_L20_0000610.obj,-2019.315,55.75,301.606
Tile_+005_+018_L20_0000620.obj,-2057.255,93.6875,299.393
Tile_+005_+018_L20_0000630.obj,-2019.315,93.6875,302.1845
Tile_+005_+018_L20_0000700.obj,-2049.7,55.0516,391.8405
Tile_+005_+018_L20_0000710.obj,-2023.785,53.8171,390.911
Tile_+005_+018_L20_0000720.obj,-2054.41,98.55155,391.071
Tile_+005_+018_L20_0000730.obj,-2018.385,97.34095,390.651
Tile_+005_+019.obj,-2076,187,341.166
Tile_+005_+019_L14_0.obj,-2076,187,341.166
Tile_+005_+019_L15_00.obj,-2076,187,341.166
Tile_+005_+019_L16_000.obj,-2076,187,341.194
Tile_+005_+019_L17_0000.obj,-2076,187,341.5445
Tile_+005_+019_L18_00000t7.obj,-2076,187,341.5835
Tile_+005_+019_L19_000000t3.obj,-2113.875,149.125,293.836
Tile_+005_+019_L19_000010t2.obj,-2113.875,158.8005,387.8945
Tile_+005_+019_L19_000020t3.obj,-2038.125,149.125,300.67
Tile_+005_+019_L19_000030t3.obj,-2038.125,148.2445,390.2875
Tile_+005_+019_L19_000040t3.obj,-2113.875,224.875,293.291
